URL,HTTP_STATUS,SCREEN_STATE,ELEMENTS_COUNT,ACTUAL_URL,NOTES
"http://localhost:3000/admin/dashboard",200,"FUNCTIONAL","Buttons: 3","http://localhost:3000/admin/dashboard",""
"http://localhost:3000/admin/organizations",404,"404","Buttons: 2; Headings: 2","http://localhost:3000/admin/organizations",""
"http://localhost:3000/admin/employees",200,"FUNCTIONAL","Buttons: 3; Tables: 1","http://localhost:3000/admin/employees",""
"http://localhost:3000/admin/positions",200,"FUNCTIONAL","Buttons: 3","http://localhost:3000/admin/positions",""
"http://localhost:3000/admin/timeclock-areas",404,"404","Buttons: 2; Headings: 2","http://localhost:3000/admin/timeclock-areas",""
"http://localhost:3000/admin/shifts",200,"FUNCTIONAL","Buttons: 3","http://localhost:3000/admin/shifts",""
"http://localhost:3000/admin/shifts/types",404,"404","Buttons: 2; Headings: 2","http://localhost:3000/admin/shifts/types",""
"http://localhost:3000/admin/shifts/templates",404,"404","Buttons: 2; Headings: 2","http://localhost:3000/admin/shifts/templates",""
"http://localhost:3000/admin/shifts/patterns",404,"404","Buttons: 2; Headings: 2","http://localhost:3000/admin/shifts/patterns",""
"http://localhost:3000/admin/attendances",200,"FUNCTIONAL","Buttons: 3","http://localhost:3000/admin/attendances",""
"http://localhost:3000/admin/attendances/now",404,"404","Buttons: 2; Headings: 2","http://localhost:3000/admin/attendances/now",""
"http://localhost:3000/admin/leave/types",200,"FUNCTIONAL","Buttons: 3; Tables: 1","http://localhost:3000/admin/leave/types",""
"http://localhost:3000/admin/leave/accrual-rules",404,"404","Buttons: 2; Headings: 2","http://localhost:3000/admin/leave/accrual-rules",""
"http://localhost:3000/admin/leave/status",404,"404","Buttons: 2; Headings: 2","http://localhost:3000/admin/leave/status",""
"http://localhost:3000/admin/requests",200,"FUNCTIONAL","Buttons: 3","http://localhost:3000/admin/requests",""
"http://localhost:3000/admin/requests/rules",404,"404","Buttons: 2; Headings: 2","http://localhost:3000/admin/requests/rules",""
"http://localhost:3000/admin/approval/forms",200,"FUNCTIONAL","Buttons: 3","http://localhost:3000/admin/approval/forms",""
"http://localhost:3000/admin/reports",200,"FUNCTIONAL","Buttons: 3","http://localhost:3000/admin/reports",""
"http://localhost:3000/admin/reports/standardization",404,"404","Buttons: 2; Headings: 2","http://localhost:3000/admin/reports/standardization",""
"http://localhost:3000/admin/reports/snapshots",404,"404","Buttons: 2; Headings: 2","http://localhost:3000/admin/reports/snapshots",""
"http://localhost:3000/admin/messages",200,"FUNCTIONAL","Buttons: 3","http://localhost:3000/admin/messages",""
"http://localhost:3000/admin/messages/automations",404,"404","Buttons: 2; Headings: 2","http://localhost:3000/admin/messages/automations",""
"http://localhost:3000/admin/settings/notifications",200,"FUNCTIONAL","Buttons: 3","http://localhost:3000/admin/settings/notifications",""
"http://localhost:3000/admin/settings/company",200,"FUNCTIONAL","Buttons: 3","http://localhost:3000/admin/settings/company",""
"http://localhost:3000/admin/settings/permissions",404,"404","Buttons: 2; Headings: 2","http://localhost:3000/admin/settings/permissions",""
"http://localhost:3000/me/home",200,"FUNCTIONAL","Buttons: 9","http://localhost:3000/me/home",""
"http://localhost:3000/me/shifts",404,"404","Buttons: 2; Headings: 2","http://localhost:3000/me/shifts",""
"http://localhost:3000/me/attendances",200,"FUNCTIONAL","Buttons: 7","http://localhost:3000/me/attendances",""
"http://localhost:3000/me/leaves",200,"FUNCTIONAL","Buttons: 7","http://localhost:3000/me/leaves",""
"http://localhost:3000/me/requests",200,"FUNCTIONAL","Buttons: 7","http://localhost:3000/me/requests",""
"http://localhost:3000/me/messages",404,"404","Buttons: 2; Headings: 2","http://localhost:3000/me/messages",""
"http://localhost:3000/me/profile",200,"FUNCTIONAL","Buttons: 8","http://localhost:3000/me/profile",""